INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Vincennes University,Vincennes,IN,47591,3,4,-87.523407,38.686318
Wabash College,Crawfordsville,IN,47933-0352,2,1,-86.906,40.037588
Allen College,Waterloo,IA,50703-1999,2,1,-92.340148,42.530084
Briar Cliff University,Sioux City,IA,51104,2,1,-96.428444,42.526443
Buena Vista University,Storm Lake,IA,50588,2,2,-95.208529,42.642255
Capri College-Dubuque,Dubuque,IA,52001,-2,1,-90.665565,42.497357
Capri College-Cedar Rapids,Cedar Rapids,IA,52404,-2,1,-91.710201,41.960734
Central College,Pella,IA,50219,2,2,-92.922199,41.401539
Clarke University,Dubuque,IA,52001-3198,2,1,-90.690487,42.509475
Coe College,Cedar Rapids,IA,52402-5092,2,2,-91.658192,41.988263
Cornell College,Mount Vernon,IA,52314,2,2,-91.423741,41.924554
Des Moines Area Community College,Ankeny,IA,50023-3993,4,5,-93.611597,41.707348
Divine Word College,Epworth,IA,52045,1,1,-90.934578,42.441721
Dordt University,Sioux Center,IA,51250-1606,2,2,-96.166562,43.082527
Drake University,Des Moines,IA,50311-4505,3,2,-93.652163,41.60129
University of Dubuque,Dubuque,IA,52001,2,2,-90.693428,42.49726
Ellsworth Community College,Iowa Falls,IA,50126,2,1,-93.265853,42.527524
Emmaus Bible College,Dubuque,IA,52001-3096,1,1,-90.706011,42.508307
Eastern Iowa Community College District,Davenport,IA,52801-1221,3,3,-90.574459,41.522179
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023-2152,2,1,-93.624422,41.737082
Graceland University-Lamoni,Lamoni,IA,50140,2,2,-93.924893,40.615966
Grand View University,Des Moines,IA,50316,2,2,-93.600954,41.620039
Grinnell College,Grinnell,IA,50112-1690,2,2,-92.722094,41.747952
Orion Technical College,Davenport,IA,52807,1,1,-90.528333,41.56056
Hawkeye Community College,Waterloo,IA,50701,3,3,-92.330633,42.430003
American Hair Academy,Mt. Pleasant,IA,52641,-2,1,-91.524949,40.962643
Indian Hills Community College,Ottumwa,IA,52501,3,2,-92.394736,41.045105
Iowa Central Community College,Fort Dodge,IA,50501,3,2,-94.20299,42.490067
Iowa Lakes Community College,Estherville,IA,51334-2295,2,2,-94.835661,43.401376
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,50309-1453,-2,1,-93.635129,41.590094
Iowa School of Beauty-Des Moines,Des Moines,IA,50322-3203,-2,1,-93.711628,41.624684
Iowa State University,Ames,IA,50011-2103,4,5,-93.648504,42.026212
Iowa Western Community College,Council Bluffs,IA,51503-1057,3,3,-95.797975,41.272168
University of Iowa,Iowa City,IA,52242-1316,4,5,-91.536425,41.661935
Kirkwood Community College,Cedar Rapids,IA,52406-2068,3,4,-91.651172,41.911268
La James International College-Cedar Falls,Cedar Falls,IA,50613,-2,1,-92.434496,42.515026
La James International College-Johnston,Johnston,IA,50131,-2,1,-93.738577,41.661015
La James College of Hairstyling and Cosmetology,Mason City,IA,50401-3308,-2,1,-93.199881,43.153786
La James International College-Ft Dodge,Fort Dodge,IA,50501,-2,1,-94.163856,42.5005
Loras College,Dubuque,IA,52004-0178,2,2,-90.679023,42.503908
Luther College,Decorah,IA,52101-1045,2,2,-91.802809,43.312304
Maharishi International University,Fairfield,IA,52557,2,2,-91.967306,41.017781
Marshalltown Community College,Marshalltown,IA,50158,2,2,-92.909411,42.00065
Mercy College of Health Sciences,Des Moines,IA,50309-1239,2,1,-93.626238,41.594559
Morningside University,Sioux City,IA,51106-1751,2,2,-96.359464,42.473891
Mount Mercy University,Cedar Rapids,IA,52402-4797,2,2,-91.650991,42.001931
Ashford University,San Diego,CA,92123,5,5,-117.141961,32.8273
North Iowa Area Community College,Mason City,IA,50401,2,2,-93.13126,43.157169
University of Northern Iowa,Cedar Falls,IA,50614-0005,3,3,-92.459703,42.514923
Northwestern College,Orange City,IA,51041,2,2,-96.058772,42.999007
Northeast Iowa Community College,Calmar,IA,52132-0400,3,2,-91.867105,43.17523
Northwest Iowa Community College,Sheldon,IA,51201,2,2,-95.880639,43.184701
Des Moines University-Osteopathic Medical Center,West Des Moines,IA,50266,2,2,-93.81733,41.54124
Palmer College of Chiropractic,Davenport,IA,52803-5287,2,2,-90.574607,41.529021
PCI Academy-Ames,Ames,IA,50010,-2,1,-93.613611,41.99767
Saint Ambrose University,Davenport,IA,52803-2898,2,2,-90.579854,41.54065
St Luke's College,Sioux City,IA,51104-0263,1,1,-96.404724,42.520081
La James International College-Davenport,Davenport,IA,52806,-2,1,-90.5682,41.572861
Simpson College,Indianola,IA,50125,2,2,-93.563471,41.365503
Southeastern Community College,West Burlington,IA,52655-0180,2,2,-91.171881,40.814496
Southwestern Community College,Creston,IA,50801,2,2,-94.380906,41.073437
Capri College-Davenport,Davenport,IA,52807-3003,-2,1,-90.538828,41.575211
Iowa School of Beauty-Sioux City,Sioux City,IA,51106,-2,1,-96.365842,42.441812
SOHO Hair Academy,Council Bluffs,IA,51501,-2,1,-95.858073,41.235617
Upper Iowa University,Fayette,IA,52142-1857,3,2,-91.799543,42.838283
Waldorf University,Forest City,IA,50436-1713,3,2,-93.641714,43.262923
Wartburg College,Waverly,IA,50677-0903,2,2,-92.483387,42.7277
Wartburg Theological Seminary,Dubuque,IA,52003-7769,1,1,-90.691225,42.485761
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,50613,-2,1,-92.433262,42.511022
Western Iowa Tech Community College,Sioux City,IA,51102-5199,3,3,-96.348874,42.482953
William Penn University,Oskaloosa,IA,52577,2,2,-92.647095,41.310111
Allen County Community College,Iola,KS,66749,2,2,-95.396377,37.938038
Baker University,Baldwin City,KS,66006-0065,2,2,-95.187346,38.778712
Barton County Community College,Great Bend,KS,67530,3,3,-98.731648,38.403529
Benedictine College,Atchison,KS,66002-1499,2,2,-95.113858,39.573079
Bethany College,Lindsborg,KS,67456-1897,2,1,-97.67367,38.580598
Bethel College-North Newton,North Newton,KS,67117-1716,2,1,-97.343256,38.075169
Butler Community College,El Dorado,KS,67042-3280,3,3,-96.882987,37.806699
Central Christian College of Kansas,McPherson,KS,67460-5740,2,1,-97.668597,38.357978
Cloud County Community College,Concordia,KS,66901-3108,2,2,-97.664147,39.554199
Coffeyville Community College,Coffeyville,KS,67337,2,2,-95.621374,37.033814
Colby Community College,Colby,KS,67701,2,2,-101.052744,39.377601
Cowley County Community College,Arkansas City,KS,67005,2,2,-97.043075,37.061668
Dodge City Community College,Dodge City,KS,67801-2399,2,2,-100.037481,37.776891
Donnelly College,Kansas City,KS,66102,2,1,-94.649827,39.112346
Emporia State University,Emporia,KS,66801-5415,3,2,-96.179021,38.414784
Flint Hills Technical College,Emporia,KS,66801-5957,2,2,-96.224141,38.41888
Fort Hays State University,Hays,KS,67601-4099,3,4,-99.342503,38.872156
Barclay College,Haviland,KS,67059-0288,1,1,-99.105351,37.62012
Friends University,Wichita,KS,67213,2,2,-97.367048,37.678459
Fort Scott Community College,Fort Scott,KS,66701,2,2,-94.715334,37.816206
Garden City Community College,Garden City,KS,67846-6333,2,2,-100.84916,37.970514
Haskell Indian Nations University,Lawrence,KS,66046-4800,2,1,-95.232879,38.938834
Hays Academy of Hair Design,Hays,KS,67601,-2,1,-99.310623,38.884873
Hesston College,Hesston,KS,67062-2093,1,1,-97.433883,38.134558
Highland Community College,Highland,KS,66035-4165,2,2,-95.271539,39.859987
Hutchinson Community College,Hutchinson,KS,67501,3,3,-97.92135,38.068035
Independence Community College,Independence,KS,67301-0708,2,1,-95.720518,37.195614
Johnson County Community College,Overland Park,KS,66210-1299,4,4,-94.727798,38.924125
Concorde Career College-Kansas City,Kansas City,MO,64114,2,1,-94.602584,38.936103
Kansas City Kansas Community College,Kansas City,KS,66112,3,3,-94.748061,39.121911
Kansas Christian College,Overland Park,KS,66204-1975,1,1,-94.666878,38.994848
University of Kansas,Lawrence,KS,66045,4,5,-95.247567,38.958549
Newman University,Wichita,KS,67213-2097,2,2,-97.37768,37.672643
Old Town Barber College,Wichita,KS,67211-1605,-2,1,-97.323179,37.68586
Kansas State University,Manhattan,KS,66506,4,5,-96.581077,39.188648
Kansas Wesleyan University,Salina,KS,67401-6146,2,2,-97.607973,38.813795
Washburn Institute of Technology,Topeka,KS,66604,-2,2,-95.751158,39.04497
Labette Community College,Parsons,KS,67357-4201,2,2,-95.255368,37.339062
Manhattan Area Technical College,Manhattan,KS,66503-2499,2,1,-96.615672,39.197774
Manhattan Christian College,Manhattan,KS,66502-4801,1,1,-96.579383,39.184806
McPherson College,McPherson,KS,67460-1402,2,1,-97.642996,38.371422
MidAmerica Nazarene University,Olathe,KS,66062-1899,2,2,-94.781526,38.875244
Neosho County Community College,Chanute,KS,66720,2,2,-95.464976,37.670672
Fort Hays Tech North Central,Beloit,KS,67420,2,1,-98.110826,39.482419
Fort Hays State University-Northwest Kansas Technical College,Goodland,KS,67735,2,1,-101.70022,39.346424
Ottawa University-Ottawa,Ottawa,KS,66067-3399,2,1,-95.264187,38.603173
Ottawa University-Kansas City,Overland Park,KS,66211,2,1,-94.635461,38.932055
Pittsburg State University,Pittsburg,KS,66762,3,3,-94.702473,37.392071
Pratt Community College,Pratt,KS,67124,2,2,-98.714538,37.654451
University of Saint Mary,Leavenworth,KS,66048-5082,2,2,-94.906743,39.279396
Salina Area Technical College,Salina,KS,67401,2,2,-97.636892,38.793582
Seward County Community College,Liberal,KS,67901,2,2,-100.917695,37.059807
Southwestern College,Winfield,KS,67156-2499,2,2,-96.975405,37.248608
Sterling College,Sterling,KS,67579,2,1,-98.208644,38.219937
Tabor College,Hillsboro,KS,67063-1799,2,1,-97.199773,38.34858
Washburn University,Topeka,KS,66621,3,3,-95.702222,39.033778
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,67226,3,3,-97.224151,37.75764
Wichita State University,Wichita,KS,67260-0124,3,4,-97.292361,37.718882
Wichita Technical Institute,Wichita,KS,67213-1927,-2,1,-97.371819,37.656976
Alice Lloyd College,Pippa Passes,KY,41844,2,1,-82.875068,37.335087
Asbury University,Wilmore,KY,40390-1198,2,2,-84.662606,37.862029
Asbury Theological Seminary,Wilmore,KY,40390-1199,2,2,-84.660127,37.861561
Ashland Community and Technical College,Ashland,KY,41101-3683,2,2,-82.650664,38.469201
Bellarmine University,Louisville,KY,40205-0671,2,2,-85.704997,38.219279
Berea College,Berea,KY,40404-2182,2,2,-84.292893,37.57202
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,42101,-2,1,-86.469756,36.979195
Southcentral Kentucky Community and Technical College,Bowling Green,KY,42101-3601,3,3,-86.476717,36.984827
Brescia University,Owensboro,KY,42301-3023,2,1,-87.111639,37.769041
Campbellsville University,Campbellsville,KY,42718-2799,3,4,-85.348943,37.343342
Bluegrass Community and Technical College,Lexington,KY,40508,3,4,-84.499928,38.061375
Centre College,Danville,KY,40422-1394,2,2,-84.779392,37.645709
Clear Creek Baptist Bible College,Pineville,KY,40977-9752,1,1,-83.727702,36.725236
Paul Mitchell the School-Lexington,Lexington,KY,40514,-2,1,-84.548281,37.980361
Galen College of Nursing-Louisville,Louisville,KY,40245,3,3,-85.499039,38.281333
University of the Cumberlands,Williamsburg,KY,40769,4,5,-84.161646,36.737048
Eastern Kentucky University,Richmond,KY,40475-3102,3,4,-84.300796,37.740845
Elizabethtown Community and Technical College,Elizabethtown,KY,42701-3081,3,3,-85.879927,37.692858
Frontier Nursing University,Versailles,KY,40383,2,2,-84.692791,38.051018
Georgetown College,Georgetown,KY,40324-1696,2,2,-84.553767,38.207615
PJ's College of Cosmetology-Glasgow,Glasgow,KY,42141,-2,1,-85.922275,37.012713
Hazard Community and Technical College,Hazard,KY,41701-2402,2,2,-83.175644,37.234897
Paul Mitchell the School-Louisville,Louisville,KY,40222,-2,1,-85.578849,38.24897
Henderson Community College,Henderson,KY,42420-4699,2,2,-87.650091,37.797687
Hopkinsville Community College,Hopkinsville,KY,42240,2,2,-87.488297,36.882654
Jefferson Community and Technical College,Louisville,KY,40202,3,4,-85.753615,38.246027
Summit Salon Academy-Lexington,Lexington,KY,40505,-2,1,-84.453521,38.028451
American National University-Pikeville,Pikeville,KY,41501-1520,1,1,-82.528212,37.472423
Kentucky Mountain Bible College,Jackson,KY,41339,1,1,-83.438765,37.603443
Kentucky State University,Frankfort,KY,40601-2355,2,2,-84.855402,38.201427
Kentucky Wesleyan College,Owensboro,KY,42301,2,1,-87.119658,37.744489
University of Kentucky,Lexington,KY,40506-0032,4,5,-84.504747,38.038911
Kentucky Christian University,Grayson,KY,41143-1199,2,1,-82.945561,38.338805
Lexington Theological Seminary,Lexington,KY,40503,1,1,-84.526079,37.996332
Lindsey Wilson College,Columbia,KY,42728-1223,2,2,-85.299997,37.101502
University of Louisville,Louisville,KY,40292-0001,4,5,-85.760412,38.216862
Louisville Presbyterian Theological Seminary,Louisville,KY,40205-1798,1,1,-85.686411,38.237056
Madisonville Community College,Madisonville,KY,42431,3,2,-87.512137,37.362661
Maysville Community and Technical College,Maysville,KY,41056,3,2,-83.806786,38.626607
Midway University,Midway,KY,40347-1120,2,2,-84.678142,38.146126
Morehead State University,Morehead,KY,40351,3,3,-83.434021,38.186768
Murray State University,Murray,KY,42071-3318,3,4,-88.323629,36.612419
Gateway Community and Technical College,Florence,KY,41042,3,3,-84.633478,38.960638
Northern Kentucky University,Highland Heights,KY,41099,3,4,-84.463483,39.029714
West Kentucky Community and Technical College,Paducah,KY,42001,3,3,-88.658762,37.054081
University of Pikeville,Pikeville,KY,41501,2,2,-82.521063,37.479232
Big Sandy Community and Technical College,Prestonsburg,KY,41653,2,2,-82.778847,37.688248
Empire Beauty School-Chenoweth,Louisville,KY,40207,-2,1,-85.65752,38.255764
Empire Beauty School-Elizabethtown,Elizabethtown,KY,42701,-2,1,-85.878557,37.697453
Empire Beauty School-Dixie,Louisville,KY,40216,-2,1,-85.830866,38.167059
Empire Beauty School-Florence,Florence,KY,41042,-2,1,-84.628998,39.009553
Somerset Community College,Somerset,KY,42501-2973,3,3,-84.617546,37.059599
Southeast Kentucky Community & Technical College,Cumberland,KY,40823,2,2,-82.997661,36.966051
The Southern Baptist Theological Seminary,Louisville,KY,40280-0001,3,2,-85.687649,38.248216
Spalding University,Louisville,KY,40203-2188,2,2,-85.757725,38.242407
Sullivan University,Louisville,KY,40205,2,2,-85.670489,38.212824
Thomas More University,Crestview Hills,KY,41017-3495,2,2,-84.568923,39.022963
Transylvania University,Lexington,KY,40508-1797,2,2,-84.493202,38.052983
Kentucky Community and Technical College System,Versailles,KY,40383-1245,-2,-2,-84.72788,38.058771
Union Commonwealth University,Barbourville,KY,40906-1499,2,2,-83.888477,36.870875
Western Kentucky University,Bowling Green,KY,42101-1000,3,4,-86.456828,36.985035
Central Louisiana Technical Community College,Alexandria,LA,71301,2,2,-92.446693,31.310461
Ayers Career College,Shreveport,LA,71118,-2,1,-93.798229,32.418291
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Baton Rouge,LA,70806,-2,1,-91.152502,30.447919
Bossier Parish Community College,Bossier City,LA,71111-6922,3,3,-93.646881,32.539551
Centenary College of Louisiana,Shreveport,LA,71104,2,1,-93.730834,32.483335
Cloyd's Beauty School 1 Inc,West Monroe,LA,71291-0603,-2,1,-92.126506,32.499976
Crescent City Bartending School,New Orleans,LA,70119,-2,1,-90.086679,29.966842
Delgado Community College,New Orleans,LA,70119,3,4,-90.103962,29.985149
Avery James College,Lake Charles,LA,70601,-2,1,-93.219712,30.202601
Denham Springs Beauty School,Denham Springs,LA,70726,-2,1,-90.944774,30.484636
Dillard University,New Orleans,LA,70122,2,2,-90.06464,29.996587
Nunez Community College,Chalmette,LA,70043,2,2,-89.95888,29.95419
Grambling State University,Grambling,LA,71245,3,3,-92.713245,32.523797
Belbo Beauty Institute,Shreveport,LA,71105,-2,1,-93.706628,32.485759
ITI Technical College,Baton Rouge,LA,70817,2,1,-91.030485,30.369764
John Jay Beauty College,Kenner,LA,70062,-2,1,-90.230259,30.007684
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,70112-2223,2,2,-90.083145,29.957272
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,3,3,-92.414409,31.178616
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,4,5,-91.178921,30.414986
Louisiana State University-Eunice,Eunice,LA,70535,2,2,-92.434523,30.473292
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,3,4,-93.70561,32.428465
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,70816-2246,-2,1,-91.054583,30.425932
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,70503-3246,-2,1,-92.042092,30.206168
Louisiana Academy of Beauty,Eunice,LA,70535,-2,1,-92.408948,30.495111
Louisiana Christian University,Pineville,LA,71359,2,1,-92.425973,31.324528
Opelousas School of Cosmetology,Opelousas,LA,70570,-2,1,-92.077854,30.53165
Louisiana Tech University,Ruston,LA,71272,3,4,-92.649963,32.528297
Loyola University New Orleans,New Orleans,LA,70118-6143,3,2,-90.120417,29.936141
McNeese State University,Lake Charles,LA,70605,3,3,-93.217222,30.178187
University of New Orleans,New Orleans,LA,70148,3,3,-90.067142,30.027704
New Orleans Baptist Theological Seminary,New Orleans,LA,70126,2,2,-90.043439,30.004336
Nicholls State University,Thibodaux,LA,70310,3,3,-90.801571,29.794486
University of Louisiana at Monroe,Monroe,LA,71209-0000,3,3,-92.07374,32.527748
Northwest Louisiana Technical Community College,Minden,LA,71055-0000,2,2,-93.26302,32.586037
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,3,3,-93.097797,31.750666
University of Holy Cross,New Orleans,LA,70131-7399,2,1,-89.99445,29.912003
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,2,2,-91.110587,30.401379
Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport,Shreveport,LA,71105,-2,-1,-93.716987,32.436926
Celebrity Stylist Beauty School,Monroe,LA,71201-5135,-2,1,-92.085347,32.52121
Pineville Beauty School,Pineville,LA,71360-0000,-2,1,-92.430903,31.325717
Aveda Arts & Sciences Institute-Covington,Covington,LA,70433,-2,2,-90.104008,30.494049
Saint Joseph Seminary College,St. Benedict,LA,70457,1,1,-90.113621,30.526778
LaSalle Tech,Houma,LA,70363,-2,1,-90.688232,29.577805
Fletcher Technical Community College,Schriever,LA,70395,2,2,-90.811707,29.690884
Remington College-Lafayette Campus,Lafayette,LA,70503,1,1,-92.059734,30.166882
Southern University-Board and System,Baton Rouge,LA,70813,-2,-2,-91.196629,30.521517
SOWELA Technical Community College,Lake Charles,LA,70615,3,2,-93.16252,30.217331
Stevensons Academy of Hair Design,New Orleans,LA,70114,-2,1,-90.052219,29.948438
Southeastern Louisiana University,Hammond,LA,70402,3,4,-90.468676,30.514652
Southern University and A & M College,Baton Rouge,LA,70813,3,3,-91.190105,30.524558
Southern University at New Orleans,New Orleans,LA,70126,2,2,-90.044912,30.026162
Southern University at Shreveport,Shreveport,LA,71107,3,2,-93.834559,32.545632
University of Louisiana at Lafayette,Lafayette,LA,70503,3,4,-92.020165,30.212191
Northshore Technical Community College,Lacombe,LA,70445,3,3,-89.899196,30.379147
Tulane University of Louisiana,New Orleans,LA,70118-5698,3,4,-90.122144,29.940069
Xavier University of Louisiana,New Orleans,LA,70125-1098,2,2,-90.107307,29.964162
College of the Atlantic,Bar Harbor,ME,4609,1,1,-68.221517,44.395258
Bates College,Lewiston,ME,4240,2,2,-70.203333,44.105299
Beal University,Bangor,ME,4401,2,1,-68.785428,44.786465
Bowdoin College,Brunswick,ME,4011,2,2,-69.963942,43.907134
Maine College of Health Professions,Lewiston,ME,4240,1,1,-70.21732,44.100458
Central Maine Community College,Auburn,ME,04210-6436,2,2,-70.235498,44.134346
Colby College,Waterville,ME,04901-8840,2,2,-69.66337,44.564211
Eastern Maine Community College,Bangor,ME,4401,2,2,-68.74445,44.826048
Kennebec Valley Community College,Fairfield,ME,04937-1367,2,2,-69.61157,44.594149
The Landing School,Arundel,ME,4046,1,1,-70.503619,43.380492
University of Maine at Augusta,Augusta,ME,04330-9410,3,2,-69.796396,44.337746
University of Maine at Farmington,Farmington,ME,04938-9978,2,2,-70.147121,44.666911
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,2,2,-68.589319,47.250389
University of Maine,Orono,ME,4469,3,4,-68.669332,44.899257
University of Maine-System Central Office,Orono,ME,4469,-2,-2,-68.66988,44.896388
Maine Maritime Academy,Castine,ME,04420-0001,2,1,-68.804347,44.389654
University of Maine at Presque Isle,Presque Isle,ME,04769-2888,2,2,-68.016343,46.672285
University of New England,Biddeford,ME,04005-9599,3,3,-70.38535,43.458591
Northern Maine Community College,Presque Isle,ME,04769-2016,2,1,-68.034796,46.694668
Empire Beauty School-Maine,Bangor,ME,4401,-2,1,-68.777161,44.824546
Maine College of Art & Design,Portland,ME,04101-3494,1,1,-70.261015,43.655743
Saint Joseph's College of Maine,Standish,ME,04084-5263,2,2,-70.483373,43.826314
Spa Tech Institute-Westbrook,Westbrook,ME,4092,-2,1,-70.335331,43.67659
Southern Maine Community College,South Portland,ME,04106-1698,3,3,-70.229182,43.646649
University of Southern Maine,Portland,ME,4103,3,3,-70.274247,43.662863
Thomas College,Waterville,ME,04901-5097,2,2,-69.664734,44.524909
Unity Environmental University,New Gloucester,ME,4260,3,3,-70.257277,43.905745
Washington County Community College,Calais,ME,4619,2,1,-67.243306,45.165537
Allegany College of Maryland,Cumberland,MD,21502-2596,2,2,-78.730398,39.652152
Anne Arundel Community College,Arnold,MD,21012-1895,3,4,-76.512223,39.049813
Award Beauty School,Hagerstown,MD,21740-5610,-2,1,-77.720283,39.640443
Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,-2,1,-76.620008,39.293371
Baltimore City Community College,Baltimore,MD,21215-7893,3,2,-76.662878,39.319978
University of Baltimore,Baltimore,MD,21201-5720,3,2,-76.616591,39.305834
Bowie State University,Bowie,MD,20715-9465,3,3,-76.759721,39.018185
Capitol Technology University,Laurel,MD,20708,2,2,-76.850231,39.046673
Cecil College,North East,MD,21901-1900,2,2,-75.955949,39.642225
College of Southern Maryland,La Plata,MD,20646-0910,3,3,-77.009245,38.55895
Chesapeake College,Wye Mills,MD,21679-0008,2,2,-76.083668,38.952193
Washington Adventist University,Takoma Park,MD,20912,2,1,-77.000608,38.986349
Coppin State University,Baltimore,MD,21216-3698,2,2,-76.658687,39.311258
Del-Mar-Va Beauty Academy,Salisbury,MD,21804-6952,-2,1,-75.601701,38.339006
North American Trade Schools,Baltimore,MD,21244,-2,1,-76.751371,39.308719
Frederick Community College,Frederick,MD,21702-2964,3,3,-77.417849,39.452241
Frostburg State University,Frostburg,MD,21532-1099,3,2,-78.934293,39.650918
Garrett College,McHenry,MD,21541,2,1,-79.342923,39.560493
Goucher College,Baltimore,MD,21204-2794,2,2,-76.594843,39.410175
Hagerstown Community College,Hagerstown,MD,21742-6514,3,3,-77.667379,39.631009
Harford Community College,Bel Air,MD,21015-1698,3,3,-76.282845,39.56131
Hood College,Frederick,MD,21701,2,2,-77.419049,39.420631
Howard Community College,Columbia,MD,21044-3197,3,3,-76.877964,39.213636
Aveda Institute-Maryland,Bel Air,MD,21014-3639,-2,1,-76.349927,39.531933
Johns Hopkins University,Baltimore,MD,21218-2688,4,5,-76.621595,39.328977
Lincoln College of Technology-Columbia,Columbia,MD,21046,2,2,-76.836463,39.174673
Loyola University Maryland,Baltimore,MD,21210-2699,3,2,-76.621872,39.346358
University of Maryland Global Campus,Adelphi,MD,20783-8010,5,5,-76.847584,38.912706
"University of Maryland, Baltimore",Baltimore,MD,21201-1627,3,3,-76.623983,39.286864
University of Maryland-Baltimore County,Baltimore,MD,21250,3,4,-76.711607,39.256686
University of Maryland-College Park,College Park,MD,20742,5,5,-76.944721,38.988178
Maryland Institute College of Art,Baltimore,MD,21217-4134,2,2,-76.621033,39.308792
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,2,2,-75.686852,38.207386
Fortis Institute-Towson,Towson,MD,21204-9840,-2,1,-76.604593,39.403271
Montgomery Beauty School,Silver Spring,MD,20901,-2,1,-77.001966,38.999622
Montgomery College,Rockville,MD,20850,4,4,-77.15929,39.098656
Morgan State University,Baltimore,MD,21251-0001,3,4,-76.585565,39.344161
Mount St. Mary's University,Emmitsburg,MD,21727-7799,2,2,-77.351887,39.681705
Ner Israel Rabbinical College,Baltimore,MD,21208,2,1,-76.753526,39.388021
Hair Academy,New Carrollton,MD,20784,-2,1,-76.869467,38.956205
Notre Dame of Maryland University,Baltimore,MD,21210-2476,2,2,-76.619739,39.350612
Prince George's Community College,Largo,MD,20774-2199,3,4,-76.824623,38.888689
Maryland Beauty Academy of Essex,Baltimore,MD,21224,-2,1,-76.509213,39.29844
Salisbury University,Salisbury,MD,21801-6862,3,3,-75.604815,38.34648
St. Mary's College of Maryland,St. Mary's City,MD,20686,2,2,-76.430994,38.188047
St. John's College,Annapolis,MD,21401,2,1,-76.491359,38.981598
Towson University,Towson,MD,21252-0001,4,4,-76.611164,39.393622
Maryland University of Integrative Health,Laurel,MD,20723,2,1,-76.888025,39.165872
University System of Maryland,Baltimore,MD,21201,-2,-2,-76.605479,39.286077
United States Naval Academy,Annapolis,MD,21402-1300,3,2,-76.481692,38.980507
Stevenson University,Owings Mills,MD,21117,3,2,-76.775809,39.426413
Washington College,Chestertown,MD,21620-1438,2,1,-76.06878,39.217329
McDaniel College,Westminster,MD,21157,2,2,-77.001992,39.584231
Wor-Wic Community College,Salisbury,MD,21804-7131,2,2,-75.499659,38.373723
Hult International Business School,Cambridge,MA,2141,2,2,-71.070645,42.369968
American International College,Springfield,MA,1109,2,2,-72.558338,42.112346
Amherst College,Amherst,MA,01002-5000,2,2,-72.518493,42.372459
Anna Maria College,Paxton,MA,01612-1198,2,2,-71.91896,42.330542
Assabet Valley Regional Technical School,Marlborough,MA,1752,-2,1,-71.567281,42.36775
Assumption University,Worcester,MA,01609-1296,2,2,-71.828991,42.294226
Babson College,Wellesley,MA,02457-0310,3,2,-71.264057,42.297017
Bancroft School of Massage Therapy,Worcester,MA,1604,-2,1,-71.778113,42.268973
Boston Baptist College,Boston,MA,02136-4030,1,1,-71.1103,42.254037
Bay Path University,Longmeadow,MA,1106,2,2,-72.583382,42.055088
Bentley University,Waltham,MA,02452-4705,3,3,-71.222839,42.385995
Berklee College of Music,Boston,MA,2215,3,3,-71.089405,42.346646
Berkshire Community College,Pittsfield,MA,01201-5786,2,2,-73.314704,42.45975
Empire Beauty School-Boston,Boston,MA,2111,-2,-2,-71.062722,42.354683
Boston Architectural College,Boston,MA,02115-2703,2,1,-71.085786,42.348467
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,2446,1,1,-71.133151,42.33912
Boston College,Chestnut Hill,MA,2467,3,4,-71.169242,42.336213
Boston University,Boston,MA,2215,5,5,-71.107942,42.351118
Brandeis University,Waltham,MA,02454-9110,3,3,-71.260155,42.365727
Bridgewater State University,Bridgewater,MA,2325,3,3,-70.974553,41.98749
Bristol Community College,Fall River,MA,02720-7395,3,3,-71.119133,41.721994
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA,02302-1905,-2,1,-70.992764,42.088032
Bunker Hill Community College,Boston,MA,02129-2925,3,3,-71.069263,42.374806
Cambridge College,Boston,MA,2129,2,2,-71.072646,42.381091
Cape Cod Community College,West Barnstable,MA,02668-1599,2,2,-70.337334,41.691911
Catherine Hinds Institute of Esthetics,Woburn,MA,01801-6819,-2,1,-71.13715,42.493212
Laboure College of Healthcare,Milton,MA,2186,2,1,-71.058279,42.260866
Clark University,Worcester,MA,01610-1477,2,2,-71.823356,42.249987
